REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
INTESA SANPAOLO SPA|EUROPE|Y|11|7.7|50,000,000|4|> 95%
INTRUM AB|EUROPE|Y|8|6.3|10,000,000|3|> 95%
IRELAND|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
IRON MOUNTAIN INCORPORATED|AMERICAS|Y|6|5.0|2,500,000|1|< 5%
ISTAR INC.|AMERICAS|Y|5|2.7|5,000,000|2|< 5%
ITOCHU CORPORATION|JAPAN|Y|9|4.0|5,000,000|1|> 95%
ITV PLC|EUROPE|Y|3|1.3|12,500,000|2|> 95%
J SAINSBURY PLC|EUROPE|Y|5|2.0|2,500,000|0|> 95%
JAGUAR LAND ROVER AUTOMOTIVE PLC|EUROPE|Y|9|5.3|20,000,000|5|> 95%
JAPAN|SOVEREIGN|Y|9|5.7|17,500,000|1|> 95%
JAPAN TOBACCO INC.|JAPAN|Y|6|3.3|2,500,000|0|> 95%
JFE HOLDINGS, INC.|JAPAN|Y|7|3.7|5,000,000|1|> 95%
JOHNSON & JOHNSON|AMERICAS|Y|4|1.7|12,500,000|1|< 5%
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
JPMORGAN CHASE & CO.|AMERICAS||7|4.3|22,500,000|3|< 5%
K. HOVNANIAN ENTERPRISES, INC.|AMERICAS|Y|5|3.7|5,000,000|3|< 5%
K+S AKTIENGESELLSCHAFT|EUROPE|Y|6|3.0|2,500,000|1|> 95%
KAWASAKI HEAVY INDUSTRIES, LTD.|JAPAN|Y|7|4.3|2,500,000|0|> 95%
KAWASAKI KISEN KAISHA, LTD.|JAPAN|Y|10|5.0|5,000,000|1|> 95%
KB HOME|AMERICAS|Y|5|4.3|10,000,000|4|< 5%
KEB HANA BANK|ASIA EX-JAPAN|Y|4|2.0|2,500,000|0|> 95%
KERING|EUROPE|Y|3|1.3|5,000,000|1|> 95%
KIMCO REALTY CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
KINDER MORGAN ENERGY PARTNERS, L.P.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
KINDER MORGAN, INC.|AMERICAS|Y|6|3.0|10,000,000|2|< 5%
KINGDOM OF BAHRAIN|SOVEREIGN|Y|4|2.3|2,500,000|0|> 95%
KINGDOM OF BELGIUM|SOVEREIGN|Y|3|1.0|5,000,000|1|> 95%
KINGDOM OF NORWAY|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
KINGDOM OF SAUDI ARABIA|SOVEREIGN|Y|10|7.0|50,000,000|5|> 95%
KINGDOM OF SPAIN|SOVEREIGN|Y|6|3.7|20,000,000|3|> 95%
KINGDOM OF THAILAND|SOVEREIGN|Y|4|1.3|10,000,000|1|> 95%
KINGFISHER PLC|EUROPE|Y|1|0.3|2,500,000|0|> 95%
KINTETSU GROUP HOLDINGS CO., LTD.|JAPAN|Y|7|4.0|2,500,000|0|> 95%
KLEPIERRE|EUROPE||3|1.3|2,500,000|0|> 95%
KOBE STEEL, LTD.|JAPAN|Y|10|6.0|7,500,000|2|> 95%
KOHL'S CORPORATION|AMERICAS|Y|8|5.7|22,500,000|7|< 5%
KOMATSU LTD.|JAPAN|Y|8|3.3|2,500,000|0|> 95%
KONINKLIJKE AHOLD DELHAIZE N.V.|EUROPE|Y|2|0.7|2,500,000|1|> 95%
KONINKLIJKE DSM N.V.|EUROPE|Y|1|0.3|2,500,000|0|> 95%
KONINKLIJKE KPN N.V.|EUROPE|Y|7|4.3|15,000,000|4|> 95%
KONINKLIJKE PHILIPS N.V.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
KOOKMIN BANK|ASIA EX-JAPAN|Y|1|0.7|2,500,000|0|> 95%
KOREA ELECTRIC POWER CORPORATION|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
KRAFT HEINZ FOODS COMPANY|AMERICAS|Y|6|4.7|7,500,000|2|< 5%
KT CORPORATION|ASIA EX-JAPAN|Y|4|2.3|5,000,000|0|> 95%
L BRANDS, INC.|AMERICAS|Y|7|4.3|10,000,000|4|< 5%
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|EUROPE|Y|1|0.3|2,500,000|0|> 95%
LADBROKES CORAL GROUP LIMITED|EUROPE|Y|6|3.7|5,000,000|1|> 95%
LAFARGE|EUROPE|Y|0|0.0|2,500,000|0|> 95%
LAGARDERE SCA|EUROPE|Y|5|3.3|5,000,000|1|> 95%
LAMB WESTON HOLDINGS, INC.|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
LANXESS AKTIENGESELLSCHAFT|EUROPE|Y|4|1.3|12,500,000|2|> 95%
LENNAR CORPORATION|AMERICAS|Y|6|3.3|7,500,000|2|< 5%
LEONARDO SOCIETA' PER AZIONI|EUROPE|Y|4|3.3|7,500,000|2|> 95%
LEVEL 3 PARENT, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
LIBERTY INTERACTIVE LLC|AMERICAS|Y|4|2.7|7,500,000|3|< 5%
LINCOLN NATIONAL CORPORATION|AMERICAS|Y|2|0.7|10,000,000|2|< 5%
LINDE GMBH|EUROPE||0|0.0|2,500,000|0|> 95%
LLOYDS BANK PLC|EUROPE|Y|3|1.7|5,000,000|1|> 95%
LLOYDS BANKING GROUP PLC|EUROPE|Y|8|5.0|25,000,000|4|> 95%
LOCKHEED MARTIN CORPORATION|AMERICAS|Y|1|0.3|5,000,000|1|< 5%
LOEWS CORPORATION|AMERICAS|Y|1|0.3|10,000,000|2|< 5%
LOGAN GROUP COMPANY LIMITED|ASIA EX-JAPAN||2|0.7|5,000,000|0|> 95%
LONGFOR GROUP HOLDINGS LIMITED|ASIA EX-JAPAN||2|1.0|2,500,000|0|> 95%
LOUIS DREYFUS COMPANY B.V.|EUROPE|Y|6|3.7|5,000,000|1|> 95%
LOUISIANA-PACIFIC CORPORATION|AMERICAS|Y|2|1.3|2,500,000|0|< 5%
LOWE'S COMPANIES, INC.|AMERICAS|Y|1|0.3|7,500,000|2|< 5%
LOXAM|EUROPE|Y|8|6.3|7,500,000|2|> 95%
LUMEN TECHNOLOGIES, INC.|AMERICAS||7|4.3|17,500,000|5|< 5%
LVMH MOET HENNESSY LOUIS VUITTON|EUROPE|Y|5|3.3|10,000,000|1|> 95%
M.D.C. HOLDINGS, INC.|AMERICAS|Y|2|0.7|5,000,000|2|< 5%
M&G PLC|EUROPE||4|1.7|2,500,000|0|> 95%
MACQUARIE BANK LIMITED|AUSTRALIA NZ|Y|2|1.0|2,500,000|0|> 95%
MACY'S, INC.|AMERICAS|Y|8|7.0|15,000,000|6|< 5%
MALAYSIA|SOVEREIGN|Y|8|4.7|100,000,000|8|> 95%
MARATHON OIL CORPORATION|AMERICAS||2|1.0|2,500,000|0|< 5%
MARATHON PETROLEUM CORPORATION|AMERICAS|Y|6|2.3|10,000,000|2|< 5%
MARKS AND SPENCER P.L.C.|EUROPE|Y|7|5.3|20,000,000|4|> 95%
MARRIOTT INTERNATIONAL, INC.|AMERICAS|Y|7|3.7|12,500,000|3|< 5%
MARSH & MCLENNAN COMPANIES, INC.|AMERICAS|Y|2|0.7|7,500,000|1|< 5%
MARUBENI CORPORATION|JAPAN|Y|9|4.7|10,000,000|2|> 95%
MATTEL, INC.|AMERICAS||3|1.3|2,500,000|0|< 5%
MATTERHORN TELECOM HOLDING S.A.|EUROPE|Y|8|4.7|2,500,000|1|> 95%
MAZDA MOTOR CORPORATION|JAPAN|Y|0|0.0|2,500,000|0|> 95%
MBIA INC.|AMERICAS|Y|2|0.7|5,000,000|2|< 5%
MBIA INSURANCE CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
MCDONALD'S CORPORATION|AMERICAS|Y|5|2.7|10,000,000|2|< 5%
MCKESSON CORPORATION|AMERICAS|Y|4|1.7|12,500,000|2|< 5%
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI|EUROPE|Y|9|5.7|15,000,000|3|> 95%
MEITUAN|ASIA EX-JAPAN||2|0.7|2,500,000|0|> 95%
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|EUROPE||1|0.3|2,500,000|0|> 95%
MERITOR, INC.|AMERICAS|Y|5|2.7|7,500,000|2|< 5%
METLIFE, INC.|AMERICAS|Y|7|4.3|50,000,000|5|< 5%
METSA BOARD CORPORATION|EUROPE|Y|0|0.0|2,500,000|0|> 95%
MGIC INVESTMENT CORPORATION|AMERICAS|Y|6|3.7|5,000,000|2|< 5%
MGM GROWTH PROPERTIES OPERATING PARTNERSHIP LP|AMERICAS||0|0.0|2,500,000|0|< 5%
MGM RESORTS INTERNATIONAL|AMERICAS|Y|5|3.0|7,500,000|3|< 5%
MICROSOFT CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
MITSUBISHI CORPORATION|JAPAN|Y|6|3.3|2,500,000|0|> 95%
MITSUBISHI HEAVY INDUSTRIES, LTD.|JAPAN|Y|4|2.3|2,500,000|0|> 95%
MITSUI & CO., LTD.|JAPAN|Y|6|3.0|2,500,000|1|> 95%
MITSUI CHEMICALS, INC.|JAPAN|Y|8|4.3|2,500,000|1|> 95%
MITSUI O.S.K. LINES, LTD.|JAPAN|Y|11|6.7|10,000,000|4|> 95%
MODULAIRE GLOBAL FINANCE PLC|EUROPE||4|2.0|2,500,000|1|> 95%
MONDELEZ INTERNATIONAL, INC.|AMERICAS|Y|7|4.0|15,000,000|2|< 5%
MONITCHEM HOLDCO 3 S.A.|EUROPE|Y|4|2.3|5,000,000|1|> 95%
MORGAN STANLEY|AMERICAS|Y|6|4.3|50,000,000|4|< 5%
MOTOROLA SOLUTIONS, INC.|AMERICAS|Y|3|1.0|17,500,000|2|< 5%
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUENCHEN|EUROPE|Y|9|5.7|5,000,000|1|> 95%
MURPHY OIL CORPORATION|AMERICAS|Y|7|4.7|7,500,000|2|< 5%
NABORS INDUSTRIES, INC.|AMERICAS|Y|6|5.0|17,500,000|5|< 5%
NATIONAL AUSTRALIA BANK LIMITED|AUSTRALIA NZ|Y|5|2.3|10,000,000|1|> 95%
NATIONAL BANK OF CANADA|AMERICAS||1|0.3|2,500,000|0|< 5%
NATIONAL GRID PLC|EUROPE|Y|2|1.0|2,500,000|0|> 95%
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION|AMERICAS|Y|4|1.3|10,000,000|1|< 5%
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY|EUROPE||0|0.0|2,500,000|0|> 95%
NATURGY ENERGY GROUP, S.A.|EUROPE|Y|5|2.3|10,000,000|2|> 95%
NATWEST GROUP PLC|EUROPE|Y|9|5.3|25,000,000|4|> 95%
NATWEST MARKETS PLC|EUROPE||5|1.7|7,500,000|1|> 95%
NAVIENT CORPORATION|AMERICAS|Y|7|4.3|7,500,000|4|< 5%
NEC CORPORATION|JAPAN|Y|5|2.3|2,500,000|0|> 95%
NESTLE S.A.|EUROPE|Y|3|1.0|7,500,000|1|> 95%
NETFLIX, INC.|AMERICAS|Y|7|5.3|2,500,000|2|< 5%
NEW ALBERTSONS L.P.|AMERICAS|Y|6|3.7|5,000,000|4|< 5%
NEWELL BRANDS INC.|AMERICAS|Y|8|4.7|5,000,000|2|< 5%
NEWMONT CORPORATION|AMERICAS|Y|4|2.0|12,500,000|3|< 5%
NEXT PLC|EUROPE|Y|4|1.3|7,500,000|1|> 95%
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|AMERICAS|Y|7|4.0|12,500,000|2|< 5%
NIPPON PAPER INDUSTRIES CO.,LTD.|JAPAN|Y|10|5.0|5,000,000|2|> 95%
NIPPON STEEL CORPORATION|JAPAN|Y|8|3.7|7,500,000|1|> 95%
NIPPON TELEGRAPH AND TELEPHONE CORPORATION|JAPAN||1|0.3|2,500,000|0|> 95%
NIPPON YUSEN KABUSHIKI KAISHA|JAPAN|Y|10|5.7|12,500,000|4|> 95%
NISSAN MOTOR CO., LTD.|JAPAN|Y|12|6.3|5,000,000|1|> 95%
NOKIA OYJ|EUROPE|Y|7|4.7|10,000,000|2|> 95%
NOMURA HOLDINGS, INC.|JAPAN|Y|4|1.3|5,000,000|0|> 95%
NOMURA SECURITIES CO., LTD.|JAPAN|Y|2|0.7|2,500,000|0|> 95%
NORBORD INC.|AMERICAS|Y|4|2.3|2,500,000|0|< 5%
NORDEA BANK ABP|EUROPE||1|0.3|2,500,000|0|> 95%
NORDSTROM, INC.|AMERICAS|Y|8|5.7|22,500,000|7|< 5%
NORFOLK SOUTHERN CORPORATION|AMERICAS|Y|3|1.7|5,000,000|1|< 5%
NORTHROP GRUMMAN CORPORATION|AMERICAS|Y|5|1.7|5,000,000|1|< 5%
NOVA CHEMICALS CORPORATION|AMERICAS|Y|3|1.0|5,000,000|1|< 5%
NOVAFIVES|EUROPE|Y|5|3.3|2,500,000|1|> 95%
NRG ENERGY, INC.|AMERICAS|Y|7|6.3|7,500,000|3|< 5%
OCCIDENTAL PETROLEUM CORPORATION|AMERICAS|Y|6|5.0|15,000,000|8|< 5%
OI EUROPEAN GROUP B.V.|EUROPE|Y|5|3.0|2,500,000|1|> 95%
OJI HOLDINGS CORPORATION|JAPAN|Y|7|3.3|2,500,000|0|> 95%
OLIN CORPORATION|AMERICAS|Y|4|2.0|2,500,000|1|< 5%
OMNICOM GROUP INC.|AMERICAS|Y|1|0.3|7,500,000|1|< 5%
ONEMAIN FINANCE CORPORATION|AMERICAS|Y|5|3.0|5,000,000|1|< 5%
ORACLE CORPORATION|AMERICAS|Y|7|5.0|5,000,000|1|< 5%
ORANGE|EUROPE|Y|9|4.7|10,000,000|2|> 95%
ORANO|EUROPE|Y|4|1.7|2,500,000|0|> 95%
ORIX CORPORATION|JAPAN|Y|6|2.7|2,500,000|0|> 95%
OVERSEA-CHINESE BANKING CORPORATION LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
OVINTIV CANADA ULC|AMERICAS||2|0.7|2,500,000|0|< 5%
OVINTIV INC.|AMERICAS||6|4.7|15,000,000|4|< 5%
PACKAGING CORPORATION OF AMERICA|AMERICAS|Y|5|2.3|10,000,000|3|< 5%
PACTIV LLC|AMERICAS|Y|4|2.7|5,000,000|1|< 5%
PANASONIC CORPORATION|JAPAN|Y|6|4.3|2,500,000|0|> 95%
PCCW-HKT TELEPHONE LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
PEARSON PLC|EUROPE|Y|5|1.7|10,000,000|2|> 95%
PEOPLE'S REPUBLIC OF CHINA|SOVEREIGN|Y|10|9.0|300,000,000|16|> 95%
PEPSICO, INC.|AMERICAS||2|0.7|2,500,000|0|< 5%
PERNOD RICARD|EUROPE|Y|5|2.0|2,500,000|1|> 95%
PERUSAHAAN PERSEROAN (PERSERO) PT PERUSAHAAN LISTRIK NEGARA|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|> 95%
PETROLEO BRASILEIRO S/A PETROBRAS|AMERICAS|Y|10|6.3|10,000,000|2|> 95%
PETROLEOS MEXICANOS|AMERICAS|Y|9|6.7|12,500,000|2|> 95%
PETROLIAM NASIONAL BERHAD (PETRONAS)|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|> 95%
PFIZER INC.|AMERICAS|Y|6|4.0|50,000,000|3|< 5%
PG&E CORPORATION|AMERICAS|Y|6|3.3|2,500,000|0|< 5%
PICARD BONDCO S.A.|EUROPE|Y|6|3.3|2,500,000|1|> 95%
PIONEER NATURAL RESOURCES COMPANY|AMERICAS|Y|9|4.7|5,000,000|1|< 5%
PITNEY BOWES INC.|AMERICAS|Y|5|4.0|15,000,000|6|< 5%
PORTUGUESE REPUBLIC|SOVEREIGN|Y|4|1.7|5,000,000|1|> 95%
POSCO|ASIA EX-JAPAN|Y|3|1.0|2,500,000|0|> 95%
POST HOLDINGS, INC.|AMERICAS||6|3.3|2,500,000|0|< 5%
POSTNL N.V.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
PREMIER FOODS FINANCE PLC|EUROPE|Y|6|3.0|5,000,000|1|> 95%
PROLOGIS, L.P.|AMERICAS||0|0.0|2,500,000|0|< 5%
PRUDENTIAL FINANCIAL, INC.|AMERICAS|Y|7|3.3|17,500,000|3|< 5%
PRUDENTIAL PUBLIC LIMITED COMPANY|EUROPE|Y|10|7.3|12,500,000|2|> 95%
PT INDONESIA ASAHAN ALUMINIUM PERSERO|ASIA EX-JAPAN|Y|3|2.3|2,500,000|0|> 95%
PT PERTAMINA (PERSERO)|ASIA EX-JAPAN|Y|5|3.3|5,000,000|0|> 95%
"PUBLIC JOINT STOCK COMPANY ""OIL COMPANY ""LUKOIL"""|EUROPE|Y|1|0.3|2,500,000|0|> 95%
PUBLIC POWER CORPORATION FINANCE PLC|EUROPE|Y|0|0.0|2,500,000|0|> 95%
PUBLICIS GROUPE SA|EUROPE|Y|3|1.0|7,500,000|1|> 95%
PULTEGROUP, INC.|AMERICAS|Y|4|2.3|10,000,000|3|< 5%
QANTAS AIRWAYS LIMITED|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|> 95%
QBE INSURANCE GROUP LIMITED|AUSTRALIA NZ|Y|3|1.0|2,500,000|0|> 95%
QUEST DIAGNOSTICS INCORPORATED|AMERICAS|Y|2|0.7|7,500,000|3|< 5%
R.R. DONNELLEY & SONS COMPANY|AMERICAS|Y|6|6.0|50,000,000|16|< 5%
RADIAN GROUP INC.|AMERICAS|Y|4|2.0|5,000,000|1|< 5%
RAIFFEISEN BANK INTERNATIONAL AG|EUROPE||1|0.3|2,500,000|0|> 95%
RAKUTEN GROUP, INC.|JAPAN||8|4.0|5,000,000|1|> 95%
RAYTHEON COMPANY|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
RAYTHEON TECHNOLOGIES CORPORATION|AMERICAS|Y|7|3.3|17,500,000|2|< 5%
REALOGY GROUP LLC|AMERICAS|Y|4|3.3|7,500,000|2|< 5%
RELIANCE INDUSTRIES LIMITED|ASIA EX-JAPAN|Y|6|4.7|7,500,000|1|> 95%
RELX PLC|EUROPE|Y|5|2.0|2,500,000|0|> 95%
RENAULT|EUROPE|Y|10|7.0|15,000,000|4|> 95%
RENTOKIL INITIAL PLC|EUROPE|Y|4|2.0|2,500,000|0|> 95%
REPSOL, S.A.|EUROPE|Y|7|2.7|15,000,000|3|> 95%
REPUBLIC OF AUSTRIA|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
REPUBLIC OF CHILE|SOVEREIGN|Y|7|6.7|75,000,000|8|> 95%
REPUBLIC OF COLOMBIA|SOVEREIGN|Y|9|7.3|200,000,000|31|> 95%
REPUBLIC OF INDONESIA|SOVEREIGN|Y|10|8.0|200,000,000|20|> 95%
REPUBLIC OF ITALY|SOVEREIGN|Y|13|8.7|225,000,000|17|> 95%
REPUBLIC OF KAZAKHSTAN|SOVEREIGN|Y|0|0.0|2,500,000|0|> 95%
REPUBLIC OF KENYA|SOVEREIGN||2|1.0|2,500,000|0|> 95%
REPUBLIC OF KOREA|SOVEREIGN|Y|11|7.0|150,000,000|6|> 95%
REPUBLIC OF LATVIA|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
REPUBLIC OF PANAMA|SOVEREIGN|Y|7|3.3|5,000,000|3|> 95%
REPUBLIC OF PERU|SOVEREIGN|Y|8|7.7|125,000,000|26|> 95%
REPUBLIC OF POLAND|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
REPUBLIC OF SERBIA|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
REPUBLIC OF SOUTH AFRICA|SOVEREIGN|Y|9|8.7|150,000,000|19|> 95%
REPUBLIC OF THE PHILIPPINES|SOVEREIGN|Y|7|5.3|50,000,000|4|> 95%
REPUBLIC OF TURKEY|SOVEREIGN|Y|10|9.3|325,000,000|45|> 95%
REXEL|EUROPE|Y|4|2.3|10,000,000|1|> 95%
REYNOLDS AMERICAN INC.|AMERICAS|Y|2|0.7|5,000,000|2|< 5%
RICOH COMPANY, LTD.|JAPAN|Y|5|2.0|2,500,000|0|> 95%
RIO TINTO LIMITED|AUSTRALIA NZ|Y|6|2.3|7,500,000|1|> 95%
RITE AID CORPORATION|AMERICAS|Y|5|3.0|10,000,000|3|< 5%
ROGERS COMMUNICATIONS INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
ROLLS-ROYCE PLC|EUROPE|Y|7|4.0|22,500,000|9|> 95%
ROYAL CARIBBEAN CRUISES LTD.|AMERICAS|Y|7|6.0|22,500,000|7|< 5%
ROYAL DUTCH SHELL PLC|EUROPE|Y|9|5.3|15,000,000|2|> 95%
RUSSIAN FEDERATION|SOVEREIGN|Y|10|8.0|150,000,000|25|> 95%
RYDER SYSTEM, INC.|AMERICAS|Y|4|1.3|10,000,000|2|< 5%
SABRE HOLDINGS CORPORATION|AMERICAS|Y|8|5.7|2,500,000|2|< 5%
SAFEWAY INC.|AMERICAS|Y|6|2.7|5,000,000|4|< 5%
SAIPEM FINANCE INTERNATIONAL B.V.|EUROPE|Y|8|4.7|12,500,000|4|> 95%
SAMSUNG ELECTRONICS CO., LTD.|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
SANOFI|EUROPE|Y|2|1.0|5,000,000|1|> 95%
SASOL LTD|EUROPE||4|1.7|2,500,000|0|> 95%
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|AUSTRALIA NZ|Y|8|3.3|5,000,000|0|> 95%
SCHAEFFLER AG|EUROPE|Y|4|2.7|2,500,000|0|> 95%
SCHAEFFLER FINANCE B.V.|EUROPE|Y|2|0.7|2,500,000|0|> 95%
SEALED AIR CORPORATION|AMERICAS|Y|3|1.0|5,000,000|1|< 5%
SEMPRA ENERGY|AMERICAS|Y|0|0.0|5,000,000|1|< 5%
SES|EUROPE|Y|6|3.3|5,000,000|1|> 95%
SHIMIZU CORPORATION|JAPAN|Y|5|2.0|2,500,000|0|> 95%
SHINHAN BANK|ASIA EX-JAPAN|Y|0|0.0|2,500,000|0|> 95%
SIEMENS AKTIENGESELLSCHAFT|EUROPE|Y|4|3.0|15,000,000|2|> 95%
SIMON PROPERTY GROUP, L.P.|AMERICAS|Y|6|4.0|20,000,000|3|< 5%
SINGAPORE AIRLINES LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
SINGAPORE TELECOMMUNICATIONS LIMITED|ASIA EX-JAPAN|Y|5|2.3|2,500,000|0|> 95%
SIRIUS XM RADIO INC.|AMERICAS|Y|6|3.7|2,500,000|0|< 5%
SK TELECOM CO., LTD.|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
SKANDINAVISKA ENSKILDA BANKEN AB|EUROPE||2|0.7|2,500,000|0|> 95%
SKY LIMITED|EUROPE|Y|5|2.0|5,000,000|1|> 95%
SMURFIT KAPPA ACQUISITIONS UNLIMITED COMPANY|EUROPE|Y|4|2.0|2,500,000|1|> 95%
SOCIALIST REPUBLIC OF VIETNAM|SOVEREIGN|Y|5|3.0|2,500,000|1|> 95%
SOCIETE GENERALE|EUROPE|Y|9|6.7|50,000,000|5|> 95%
SODEXO|EUROPE|Y|5|1.7|2,500,000|0|> 95%
SOFTBANK GROUP CORP.|JAPAN|Y|14|10.0|25,000,000|4|> 95%
SOLVAY|EUROPE|Y|3|1.3|7,500,000|1|> 95%
SONY GROUP CORPORATION|JAPAN||2|0.7|2,500,000|0|> 95%
SOUTHWEST AIRLINES CO.|AMERICAS|Y|6|3.3|12,500,000|3|< 5%
SPRINT COMMUNICATIONS, INC.|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
SSE PLC|EUROPE|Y|2|0.7|5,000,000|1|> 95%
STANDARD CHARTERED BANK|EUROPE|Y|1|0.3|2,500,000|0|> 95%
STANDARD CHARTERED PLC|EUROPE|Y|9|6.3|50,000,000|3|> 95%
STAPLES, INC.|AMERICAS|Y|6|4.3|7,500,000|3|< 5%
STATE BANK OF INDIA|ASIA EX-JAPAN|Y|8|5.7|12,500,000|2|> 95%
STATE GRID CORPORATION OF CHINA|ASIA EX-JAPAN|Y|4|2.3|2,500,000|0|> 95%
STATE OF ILLINOIS|AMERICAS|Y|2|1.0|2,500,000|0|> 95%
STATE OF ISRAEL|SOVEREIGN|Y|2|1.0|2,500,000|0|> 95%
STATE OF KUWAIT|SOVEREIGN||1|0.3|2,500,000|0|> 95%
STATE OF QATAR|SOVEREIGN|Y|6|3.3|22,500,000|2|> 95%
STELLANTIS N.V.|EUROPE||9|6.7|15,000,000|5|> 95%
STENA AKTIEBOLAG|EUROPE|Y|6|2.7|7,500,000|2|> 95%
STMICROELECTRONICS N.V.|EUROPE|Y|0|0.0|5,000,000|1|> 95%
STONEGATE PUB COMPANY FINANCING PLC|EUROPE|Y|5|1.7|2,500,000|1|> 95%
STORA ENSO OYJ|EUROPE|Y|3|1.7|7,500,000|1|> 95%
SUEDZUCKER AG|EUROPE|Y|6|3.3|7,500,000|1|> 95%
SULTANATE OF OMAN|SOVEREIGN||4|2.3|2,500,000|0|> 95%
SUMITOMO CHEMICAL COMPANY, LIMITED|JAPAN|Y|5|2.3|2,500,000|0|> 95%
SUMITOMO CORPORATION|JAPAN|Y|6|3.7|2,500,000|0|> 95%
SUMITOMO MITSUI BANKING CORPORATION|JAPAN|Y|1|0.3|2,500,000|0|> 95%
SUMITOMO REALTY & DEVELOPMENT CO., LTD.|JAPAN|Y|7|2.7|2,500,000|1|> 95%
SUN HUNG KAI PROPERTIES LIMITED|ASIA EX-JAPAN|Y|6|4.0|2,500,000|0|> 95%
SUNAC CHINA HOLDINGS LIMITED|ASIA EX-JAPAN||3|1.3|2,500,000|0|> 95%
SUNRISE COMMUNICATIONS HOLDINGS S.A.|EUROPE|Y|3|1.3|2,500,000|0|> 95%
SUPERVALU INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
SVENSKA CELLULOSA AKTIEBOLAGET SCA|EUROPE|Y|2|0.7|2,500,000|0|> 95%
SVENSKA HANDELSBANKEN AB|EUROPE|Y|1|0.3|2,500,000|0|> 95%
SWEDBANK AB|EUROPE||2|1.3|5,000,000|1|> 95%
SWIRE PACIFIC LIMITED|ASIA EX-JAPAN|Y|5|3.0|2,500,000|0|> 95%
SWISS REINSURANCE COMPANY LTD|EUROPE|Y|8|4.7|7,500,000|2|> 95%
SYNGENTA AG|EUROPE|Y|5|3.0|5,000,000|1|> 95%
SYNLAB UNSECURED BONDCO PLC|EUROPE|Y|0|0.0|2,500,000|0|> 95%
T-MOBILE USA, INC.|AMERICAS|Y|8|4.7|12,500,000|3|< 5%
TAKEDA PHARMACEUTICAL COMPANY LIMITED|JAPAN|Y|7|3.7|5,000,000|0|> 95%
TALEN ENERGY SUPPLY, LLC|AMERICAS|Y|5|3.0|5,000,000|4|< 5%
TARGA RESOURCES PARTNERS LP|AMERICAS|Y|7|4.7|2,500,000|1|< 5%
TARGET CORPORATION|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
TATE & LYLE PUBLIC LIMITED COMPANY|EUROPE|Y|1|0.3|2,500,000|0|> 95%
TDC A/S|EUROPE|Y|4|1.7|5,000,000|1|> 95%
TECHEM GMBH|EUROPE|Y|1|0.3|2,500,000|0|> 95%
TECHNIPFMC PLC|EUROPE|Y|3|1.0|2,500,000|0|> 95%
